,authors,cite_by,description,publication_date,tittle
139,"Jakkapon Phanthuwongpakdee, Sumant Dwivedi, Kenji Takada, Sandhya Babel, Tatsuo Kaneko", , ,2019/8/25,Design and syntheses of bio-based exotic amino acid derived cationic polyamide for the application of water treatment
140,"Sandhya Babel, Sri Hartuti, Hiroshi Onishi, Nobuyuki Ichikuni", ,"Strontium titanate, SrTiO3, with the perovskite ABO3 structure is known as one of the most efficient photocatalyst materials for the overall water splitting reaction. Doping with appropriate metal cations at the A site or at the B site substantially increases the quantum yield to split water into H2 and O2. The site occupied by the guest dopant in the SrTiO3 host thus plays a key role in dictating the water splitting activity. However, little is known about the detailed structure of the dopant site in the host lattice. In this study, the local structure of In³⁺ cations, which were shown to improve the water splitting activity of SrTiO3, is investigated with X-ray absorption fine structure spectroscopy and density functional theory (DFT) calculations. The In³⁺ cations exclusively substitute for Ti⁴⁺ cations at the B site to form InO6 octahedra. Further optical experiments using UV-Vis diffuse reflectance spectroscopy and DFT calculations of the density of states indicate that the substitution of In³⁺ for Ti⁴⁺ does not alter the band structure and bandgap energy (remaining at 3.2 eV). The mechanism underlying the increased water splitting activity is discussed in relation to occupation of the B site by In³⁺ cations.",2019/2,Hanggara Sudrajat
141,"Janice Wang, Jeerawat Chuachan, Kritsana Patanaprasitchai, Jakkapon Phanthuwongpakdee, Tatsuo Kaneko, Kenji Takada, Sandhya Babel", ,"In the past recent years, the rapid expansion of industrialization has led to the release of metal pollution in water. Copper and aluminium are considered as hazardous metal that could poison the aquatic animals and human. To reduce this problem, the metal removal was conducted using the water-soluble bio-based polyimide (PI-COOK). The polymer was used to bind to the metal to create metal complexes; PI-COOCu and PI-COOAl. In this way, it also helps in removing metal from the contaminated water. EDX and FTIR analyses were employed for the elemental composition and functional-group analysis, respectively. The metal removal efficiency increased with the concentration of PI, and the maximum removal time is 12 h. PICOOK exhibited a higher complexation toward the increased concentration of Cu rather than Al. The fitting of kinetic models shows that PI-COOCu and PI-COOAl fit well with the second order …",2019,Bio-Based Polyimide for Metal Ions Removal from Aqueous Solution
142,"Dikshya Dhakal, Sandhya Babel", ,"Groundwater contaminated by arsenic pose a great threat to the environment. This work investigated the efficiency of easily available and non-toxic waste such as egg shell and banana peel to treat arsenic contaminated water. Egg shell and banana peel were characterized by FTIR to see the functional group responsible for adsorption. Batch experiments were separately carried to find the removal efficiencies of two forms of arsenic: arsenite and arsenate. The effects of various parameters, like dose of adsorbent, pH, retention time, agitation speed and initial analyte concentration were investigated. The maximum arsenic adsorption was found for 2mg/L solution by egg shell with a dose of 6 g/L. 68.54 % of As(III) was adsorbed at pH 9 at an equilibrium time of 160 min while 72.01 % of As(V) was adsorbed at pH 6 at an equilibrium time of 80 min. Hence it was observed that the presence of calcium carbonate and …",2018/1/1,Locally available material as adsorbent to treat arsenic contaminated water
143,"Aukrawut Seenuan, Thatapol Charoensukpatana, Natcha Chamchoy, Ngo Anh Dao Ho, Sandhya Babel", ,"There are many conventional technologies used for recovery of precious metals from wastewater, but most of them are chemical intensive and consume high energy. This paper focuses on silver recovery using bio-electrochemical system (BES), which basically consists of two separated chambers, the anode and cathode chamber. The anolyte, containing either acetate or glucose as substrate, was fed into the anode chamber, in which microorganisms were employed to produce electrons through anaerobic oxidation. The catholyte was a synthetic mixed metals solution containing silver Ag (I), copper Cu (II), and iron Fe (III), which acted as terminal electron acceptors. Two BES reactors, in which anion exchange membrane (AEM) and a cation exchange membrane (CEM) served as separators, were investigated. Experiments were conducted at different initial Fe (III) concentrations (10 mM and 20 mM), while the concentrations of Ag (I)(10 mM), and Cu (II)(1 mM), were kept constant. The silver recovery obtained in the CEM-based reactor (> 99%) was higher than that in AEM-based reactor (58-75%). However, diffusion of Ag (I), Fe (III), and Cu (II) through the CEM was unavoidable. In terms of power generation, a power density of 4515.63 mW/m3 was found in AEM-based reactor, which was higher than that in CEM-based reactor (1542.56 mW/m2). However, the substrate loss was found in the AEM-based reactor due to the transport of negative-charged organic matter through the AEM, which caused a fast decrease of cell voltage. This study successfully demonstrated the feasibility of using a bio-electrochemical system to recover silver coupled with …",2017/12/1,Recovery of Silver from Mixed Metals Solution Using a Bio-Electrochemical System
144,S Babel, , ,2017, 
145,"Irfan Mahmood, Shahid Nadeem Qureshi, Shahina Tariq, Gul Muhammad, Munir Ahmed Khan, Muhammad Zafar, Wasim Arshad, Ali Mustafa", ,"This study pertains to interpretation of Missa Keswal area and identify the structures, source and reservoir formations and whether or not faulting prevailed in the reservoir formations. Six seismic lines were interpreted for the purpose. The four dip lines are oriented SE-NW whereas two strike lines are oriented NE-SW. Three reflectors namely Sakesar Limestone, Khewra Sandstone and Salt Range Formation of Eocene, Cambrian and Precambrian age have been selected and identified. Faults showing thrusting are also identified within these Formations. The root mean square velocities (Vrms), given in the velocity windows on the seismic section, were used to calculate average velocities and depth of the Formations. Seismic Interpretation of 2D data shows that the area was deformed by compressional tectonics and the structures were formed during two main episodes of deformation-initial normal faulting and subsequent thrusting. The structures are tightly folded and complexly faulted. Major thrusts and back thrusts bound the anticlinal and synclinal features. The Sakesar Limestone is present at a depth between 1700-3500 meters, Khewra Sandstone between 3500–4900 meters, whereas the depth of Salt Range Formation varies from 4300–5500 meters. The results show that the basement normal faults have influenced the above lying structures and the thrust and back faults in the area are due to compressional movements from northeast to southwest. The Sakesar and Khewra formations are continuous throughout the area and therefore, are good reservoirs of hydrocarbons",2016/11/30,"Structural Interpretation of Missa Keswal Area, Potwar, Pakistan"
146,"Sandhya Babel, Hanggara Sudrajat, Ajay Aby Abraham", ,"Mn-and Fe-doped ZnO are synthesized by modified sol-gel method. The as-synthesized catalysts are characterized by Fourier transform infrared (FTIR) spectroscopy, scanning electron microscopy (SEM) and energy dispersive X-ray (EDX) spectroscopy. Their photocatalytic activity is investigated for the degradation of methylene blue (MB) and amaranth (AM) under UVA and visible light. The results show that the doping of Mn and Fe generally leads to enhanced photocatalytic activity. However, compared to Fe-doped ZnO, pristine ZnO prepared from zinc acetate (acet-ZnO) shows better performances. For instance, using 1 g/L of catalyst under UVA light, the MB degradation with acet-ZnO and Fe-ZnO are 98 and 43% in 90 min at pH 7, respectively. Adsorption of dye insignificantly contributes to the dye removal. Less than 5% of dyes are adsorbed within 2 h in the absence of light. Furthermore, Mn doping is more effective in enhancing the photocatalytic activity. UVA is found to be a better light source for all the catalysts. Using UVA light, 5 mol% Fe-ZnO with concentration of 1 g/L can degrade 93% of AM in 90 min at pH 7. Using visible light under identical experimental conditions, 10 mol% Mn-ZnO gives 50% efficiency for the AM degradation. In all the cases using doped ZnO, the dye degradation increases with increasing catalyst concentration and irradiation time and decreases with increasing dye concentration. Increasing pH generally increases the dye degradation up to an optimum value. Moreover, the MB and AM degradation by Fe-ZnO under visible light mainly occurs through a self-sensitization mechanism instead of oxidation by reactive …",2016/11/30,Manganese-and Iron-Doped Zinc Oxide for Photocatalytic Degradation of Recalcitrant Dyes
147,"Nguyễn Thị Phương Loan, Sandhya Babel, Alice Sharp, Đại học Thammasat, Thai Lan", ,"Quản lý chất thải rắn không phù hợp gây ra các tác động rất lớn đến môi trường (nước, không khí, và đất), ảnh hưởng đến sức khỏe con người cũng như lãng phí nguồn tài nguyên. Số lượng chất thải rắn phát sinh ở các nước đang phát triển có tốc độ đô thị hóa nhanh đã tăng lên rất đáng kể trong những năm qua.
Việt Nam là một trong số các quốc gia có tốc độ phát triển kinh tế nhanh nhất tại khu vực Đông Nam Á, cũng như thuộc nhóm các nước phát triển kinh tế cao nhất thế giới. Bên cạnh việc phát triển kinh tế nhanh, Việt Nam được xếp hạng 14 trong nhóm các quốc gia đông dân nhất trên thế giới với dân số khoảng 95 triệu người trong năm 2017. Thành phố Hồ Chí Minh (Tp. HCM) là một đô thị đặc biệt và là một trung tâm về kinh tế, văn hóa, giáo dục đào tạo, và khoa học công nghệ của Việt Nam. Tổng diện tích hành chính của Tp. HCM là 2.095 km2, bao gồm 24 quận/huyện trong đó có 19 quận nội thành và 5 huyện ngoại thành với dân số trên 9 triệu người. Từ năm 1992 đến 2016, khối lượng chất thải rắn phát sinh đã tăng rất nhanh từ 1.164 tấn/ngày lên 8.300 tấn/ngày. Hiện nay hệ thống quản lý chất thải rắn tại Tp. HCM chưa thật sự hiệu quả theo đó các vấn đề khó khăn gặp phải là thiếu nhân sự có năng lực, thiếu cơ sở hạ tầng kỹ thuật đối với tái chế, thu gom, vận chuyển và xử lý chất thải rắn và phân loại chất thải tại nguồn chưa được thực hiện trên toàn thành phố. Vì thế việc xây dựng một hệ thống quản lý chất thải rắn bền vững phù hợp với điều kiện của địa phương trở nên rất quan trọng và cấp bách.",2016,"Lựa chọn công nghệ trong Quản lý chất thải rắn bền vững Nghiên cứu điển hình tại Thành phố Hồ Chí Minh, Việt Nam"
148,"Putri A Sekartaji, Sandhya Babel", ,"Humic acid (HA) is universally present in soils and natural water resources in a yellow-brown form. HA can react with chlorine during drinking water treatment and produce disinfection byproducts (DBPs), such as trihalomethanes (THMs) and haloacetic acids (HAAs), which are harmful for health. Therefore, HA has to be eliminated from water environment. The photocatalysis is an effective alternative solution for the degradation of HA in a water environment. This research aims to degrade HA from water environment. The rapid degradation of HA, using zinc oxide nanoparticles, irradiated by ultraviolet light (ZnO/UV), is investigated. The optimum conditions of pertinent factors, which include the light wavelength (UV-A and UV-C), and light intensity, HA concentration, ZnO dose, and contact time are investigated at neutral pH conditions, considered for drinking water treatment. HA degradation efficiency reached more …",2016,Humic Acid Degradation by ZnO Photocatalyst
149,"Xaysackda Vilaysouk, Sandhya Babel", ,"Globally, the greenhouse gas (GHG) emission released from municipal solid waste (MSW) management sector contributes to 3% of total. Finding applicable solution for MSW management, along with reducing the GHG emission, are proposed in study. Luangprabang (LPB) is the world heritage city and one the most popular destination for tourism. In 2011, approximately 24.82 Gg/year MSW was generated. Landfill is the main disposal method of MSW generated in LPB. By using the International Panel on Climate Change 2006 (IPCC 2006) model, and Atmospheric Brown Clouds Emission Inventory Manual (ABC EIM), total of 19,735 tonnes/year CO2-eq is estimated to be generated from existing MSW management in LPB. Improvement of MSW management, by increasing the MSW collection service, introducing composting and recycling, and avoiding the open burning could play an important role to reduce environmental impacts. The GHG reduction was 45% in scenario S3 compared to scenario S1, and the GHG emission per capita was also lowest in scenario S3.",2015/5/19,"CO-BENEFITS OF IMPROVED MUNICIPAL SOLID WASTE MANAGEMENT IN LUANGPRABANG, LAO PDR"
150,"P Limpiteeprakan, S Babel", ,"The concentrations of silver in nineteen samples ranged from 0.052 to 6.348 µg/g of product. The highest content was found in the body suit in which silver wires were visible. The concentration was in the same range when compare to synthetic nanosilver fabric. When confirmed the result with SEM-EDX analysis, two samples were found to have silver on the surface of fibers. The diameter is approximately around 5.0 µm (500 nm), which is larger than the nanosize (1-100 nm). In three samples, titanium was found on fibers and surface of the samples and also found in eight ash samples. The leaching results from nano-Ag fabrics with deionized water were found in range of 146 to 229 µg/L. Type of liquid coming in contact with materials containing nanosilver, may have impact on amount of nanosilver leached and this should be investigated further. The concentration range in the product found from this study showed the potential risk of nanosilver releasing during use phase or disposal phase, especially in Thailand, where solid waste is mainly disposed on the landfill. The fate of nanosilver during disposal phase under landfill is outlined as an area that requires more study.",2013,Waste Management & Resource Utilisation
151,"Jenjira SAETANG, Sandhya BABEL", ,"Sauf mention contraire ci-dessus, le contenu de cette notice bibliographique peut être utilisé dans le cadre d’une licence CC BY 4.0 Inist-CNRS/Unless otherwise stated above, the content of this bibliographic record may be used under a CC BY 4.0 licence by Inist-CNRS/A menos que se haya señalado antes, el contenido de este registro bibliográfico puede ser utilizado al amparo de una licencia CC BY 4.0 Inist-CNRS",2012,"'ADVANCED TREATMENT TECHNOLOGIES FOR WASTE RECYCLING': SELECTED PAPERS FROM THE'INTERNATIONAL CONFERENCE ON SOLID WASTE―MOVING TOWARDS SUSTAINABLE RESOURCE MANAGEMENT', 2―6 …"
152,"Sandhya Babel, Einstine M Opiso", ,"The potential of using Andisols to remove Cr (VI) from aqueous solution was evaluated by batch and column experiments. The results showed that the A-horizons (Isarog: 63%; Mandalagan: 42%) of the soils have lower adsorption capacity compared to B-horizons (Isarog: 93%; Mandalagan: 66%) using a dose of 20 g/L and Cr (VI) concentration of 10 mg/L. The adsorption capacity of B-horizons using column experiments were also found to retain more Cr (VI) than batch technique. Hence, the B-horizon of the studied Andisols can be used as an effective adsorbent for Cr (VI) removal from contaminated water systems.",2010/1/1,Utilisation of Andisols as possible low-cost adsorbent to remove Cr (VI) from aqueous solution
153,"BA Shah, AV Shah, RR Singh", , ,2009, 
154,"Sandhya Babel, Alice Sharp, Amornpong Thongbhakdi, Zebunnessa Shoma", ,"Bang-Pa canal located in Ratchaburi province is a natural waterway passing through different communities with its various usages. An alteration in canal’s geography due to the development of industrial estate coupled with the pollutant discharges by upstream community has hindered the use of canal water for the downstream community who depends on the canal most. This research project is carried out to mobilize stakeholder’s participation on environmental issues of Bang Pa canal. It involves capacity building of the community in water quality conservation through water quality monitoring and biological assessment using macroinvertebrates. For this, 60 volunteers from four sub-districts were actively involved. The integrated results of water quality and macroinvertebrates analysis show that the upstream water quality of the Bang-Pa canal is better as depicted by physico-chemical and biological parameters (water quality index). As the canal passes through the community, the quality deteriorates as the polluted water flows into the canal through alternative paths. The activities of the project have been integrated with the ongoing environmental efforts of the villagers on the conservation of the canal to maximize the effect. The involvement of local administration was rated as satisfactory by the community towards the issues of the canal. However, participation especially from the women residents is further required for conservation of water quality.",2008/10/23,Community Participation in Pollution Abatement and Water Quality Conservation through Bio Monitoring
155,"Dominica del Mundo Dacera, Sandhya Babel", ,"Heavy metals in sewage sludge can pose a long term environmental risk due to their toxicity,",2007/12/12,Assessment of heavy metal removal efficiencies by naturally fermented and a. niger fermented pineapple wastes from contaminated sewage sludge
156,"Sandhya Babel, Shabbir Hussaini Gheewala, UG Abeysundara", ,"This paper compares the environmental, economic and social impacts of two types of roofs (elements) widely used for buildings in Sri Lanka, namely tile and asbestos, taking into consideration a life cycle perspective. Environmental burdens associated with these elements are analyzed in terms of embodied energy along with the environmental impacts such as global warming, acidification and nutrient enrichment. Economic analysis based on market prices of materials and social analysis based on interviews are also carried out. It was found that asbestos elements are superior to tile elements for environmental scores acidification, nutrient enrichment and embodied energies. However, the global warming of the asbestos elements is a little higher. On economic and social scores also asbestos elements perform better. This analysis will help in the decision-making process when selecting materials for these elements.",2007,A decision making matrix with life cycle perspective of materials for roofs in Sri Lanka
157,"Dominica del Mundo Dacera, Sandhya Babel", ,"In recent years, various methods for heavy metal removal from sewage sludge have been extensively studied in order to minimize the prospective health risks of sludge during land application. In this paper, a comparative review and critical analysis of the application of chemical extraction, bioleaching, electroreclamation, and supercritical fluid extraction (SFE), in removing heavy metals from contaminated sludges is presented. Moreover, speciation studies, which can indicate ease of leachability of the different forms of heavy metals in sludge, are also presented. Experimental studies revealed a broad range in metal extraction efficiencies of the different extraction technologies. Acid treatment seemed to effectively remove Cd, attaining as much as 100% removal for some studies, as compared to bioleaching. SFE also gave higher removal efficiency than bioleaching. Cr, Pb and Ni seemed to be also effectively …",2006,Heavy metal removal from contaminated sludge for land application: a review
158,"Tonni Agustiono Kurniawan, Sandhya Babel", ,"In this research, the technical feasibility of using coconut shell-based activated carbon (CSBAC) and zeolite for Cr (VI) removal from electroplating wastewater was investigated using batch studies at varying Cr concentrations (5 to 25 mg/l). The granular CSBAC was made up of coconut shell, an abundantly available agricultural waste from the local coconut industry in Thailand. Chemical treatments of CSBAC and zeolite with HNO3 and NaCl, respectively, were also conducted to improve their removal capabilities. The results of their removal performances on Cr were evaluated and statistically compared. It was conclusively evident that the chemically treated adsorbents (CSBAC and zeolite) demonstrated significantly better removal capabilities for Cr6+(CSBAC: 15.47, zeolite: 3.23 mg/g) than asreceived adsorbents (CSBAC: 4.72, zeolite: 1.79 mg/g), respectively. It was also found that nitric-oxidized CSBAC and NaCl-treated zeolite were capable of Cr removal at lower concentrations (5 and 10 mg/l) with the Cr adsorption capacities as follows: nitric-oxidized CSBAC (7.88 and 6.66 mg/g) and NaCl-treated zeolite (4.20 and 3.55 mg/g), respectively; thus, suggesting that both chemically treated adsorbents are highly capable of treating Cr effluents at lower concentrations. It is important to note that their adsorption capacities on Cr6+ vary, depending on the characteristics of the individual adsorbent, the extent of chemical treatment/modification, and the initial concentration of chromium.",2003/1/1,A research study on Cr (VI) removal from electroplating wastewater using chemically modified coconut shell-based activated carbon and treated zeolite
159,"K Fukushi, Sandhya Babel, H Xuan", ,Experiments were carried out to isolate metal removing bacteria from activated sludge culture and test the metal removal capability of isolated bacteria. Two concentrations of copper solution (CuCl2) used to select the copper-tolerance level of each isolate were 0.05 mM and 2.5 mM. Experimental data showed that isolates could be obtained by using non-selective medium (NSM) in the presence of copper. The isolates were displayed on agar plates with diverse colonial morphological characteristics. A maximum uptake of 81 mg/g dry cell mass was observed at an initial copper concentration of 50 mg/l. The minimum uptake was 9 mg/g dry cell mass. Copper uptake efficiency by isolates from NSM with 0.5 mM CuCl2 was significantly different with those from NSM with 2.5 mM CuCl2.,2002/12,Isolation and examination of copper removing bacteria from activated sludge culture
160,"Nguyen Thi Phuong Loan, Alice Sharp, Sandhya Babel", ,"Ho Chi Minh City (HCMC) is a mega city with a total area of 2,095 km2. HCMC has 24 districts, 19 urban and 5 rural. The total population is more than 10 million, with a growth rate of 10.2%(Nguyen, 2013). According to the social report of HCMC in 2016, the average gross domestic product (GDP) per capita was 5,700 USD (HCM People’s Committee, 2016). The accelerated economic growth and rapid urbanization have resulted in serious municipal solid waste (MSW) management problems. The quantity of solid waste generated has been increasing significantly from 1992 to 2017 (Figure 1). In 2017, the total waste generated was about 8,845 tonnes/day (Department of Natural Resource and Management-Ho Chi Minh City [DONRE], 2009). From 2010 to 2017, the solid waste growth rate was about 6–8% per year, with an average solid waste generation of about 1.07 kg/capita/day (DONRE, 2016). In addition, segregation at source is not widely practised. Therefore, MSW management has been considered as one of the most severe environmental problems as the quantity of waste has increased while infrastructure for collection and",APN,Challenges and opportunities to approach zero waste for municipal solid waste management in Ho Chi Minh City
161,Sandhya Babel, ,"EurAsia Waste Management Symposium, 26-28 October 2020, İstanbul/Türkiye microbeads for cosmetic products and plastic resin. Secondary sources of MPs are formed from the disintegration of larger plastics by biodegradation, photodegradation, thermooxidative degradation, thermal degradation, or hydrolysis [5]. MP contamination in marine and freshwater bodies causes a lot of undesirable impacts, collectively on the global environment and humans. Not only the ecological hazards but chemical and biological hazards are also associated with MPs. Many additives incorporated in the polymer blend, are leached out from MPs, potentially causing toxic effects on both humans and aquatic organisms, if ingested. On the other hand, MPs are efficient vectors that transfer heavy metals and micro-organisms bound to them over long distances. Currently, most MP studies are concentrated in developed countries such as in Europe, North America, and the East Asian region. Few studies are known in the Southeast Asian region (ASEAN)[6]. However, the ASEAN region is well known as a hotspot of mismanaged plastic waste. This creates a threat to water security in the region. Currently, knowledge of MP pollution in Thailand is still insufficient. A study on MPs in single-use PET-bottled and glass bottled water found 140±19 items/L and 52±4 items/L, respectively [7]. Among the particles that were confirmed to be polymeric, PET, PE, PP, and PA were dominant. Accordingly, the contamination mainly emanates from the packaging, but could also occur during the manufacturing process. Given the direct human exposure to MPs through bottled water and …","EurAsia Waste Management Symposium, 26-28 October 2020, İstanbul/Türkiye microbeads for cosmetic products and plastic resin. Secondary sources of MPs are formed from the disintegration of larger plastics by biodegradation, photodegradation, thermooxidative degradation, thermal degradation, or hydrolysis [5]. MP contamination in marine and freshwater bodies causes a lot of undesirable impacts, collectively on the global environment and humans. Not only the ecological hazards but chemical and biological hazards are also associated with MPs. Many additives incorporated in the polymer blend, are leached out from MPs, potentially causing toxic effects on both humans and aquatic organisms, if ingested. On the other hand, MPs are efficient vectors that transfer heavy metals and micro-organisms bound to them over long distances. Currently, most MP studies are concentrated in developed countries such as in Europe, North America, and the East Asian region. Few studies are known in the Southeast Asian region (ASEAN)[6]. However, the ASEAN region is well known as a hotspot of mismanaged plastic waste. This creates a threat to water security in the region. Currently, knowledge of MP pollution in Thailand is still insufficient. A study on MPs in single-use PET-bottled and glass bottled water found 140±19 items/L and 52±4 items/L, respectively [7]. Among the particles that were confirmed to be polymeric, PET, PE, PP, and PA were dominant. Accordingly, the contamination mainly emanates from the packaging, but could also occur during the manufacturing process. Given the direct human exposure to MPs through bottled water and …",Situation of Plastics and Micro-plastics Pollution in Thailand
162,"Nguyen Thi Phuong Loan, Sandhya Babel, Alice Sharp", ,"Improper solid waste management causes environmental impacts (water, air, and soil), affects human well-being, and also waste of natural resource. The amount of solid waste is growing rapidly in many of the developing countries with rapid urbanization.
Vietnam is one of the Southeast Asia’s fastest growing economies. Vietnam's economic growth rate has been among the highest in the world. As of 2017, Vietnam had 95 million people and it is the World’s 14th most populous country. Ho Chi Minh City (HCMC) is a mega city and a large center of economic, cultural, education and training, science and technology of Vietnam. The total area of HCMC is 2,095 km2, including 24 districts in which 19 are urban districts and 5 suburban districts with more than 9 million of people. From 1992 to 2016, the total amount of generated solid waste in HCMC has been significantly increasing from 424,860 tonnes to 3,028,040 tonnes/year (or 1,164 tonnes to 8,300 tonnes/day). At present, the solid waste management system in HCM City is not very effective as the major problems are that the separation of solid waste at source has not been implemented in the whole city, lack of professional ability of staff, and infrastructure for recycle, collection, transportation, and treatment of solid waste. With the vast population and amount of waste generation, it becomes very important to have appropriate waste management system suitable for local conditions.","Improper solid waste management causes environmental impacts (water, air, and soil), affects human well-being, and also waste of natural resource. The amount of solid waste is growing rapidly in many of the developing countries with rapid urbanization.
Vietnam is one of the Southeast Asia’s fastest growing economies. Vietnam's economic growth rate has been among the highest in the world. As of 2017, Vietnam had 95 million people and it is the World’s 14th most populous country. Ho Chi Minh City (HCMC) is a mega city and a large center of economic, cultural, education and training, science and technology of Vietnam. The total area of HCMC is 2,095 km2, including 24 districts in which 19 are urban districts and 5 suburban districts with more than 9 million of people. From 1992 to 2016, the total amount of generated solid waste in HCMC has been significantly increasing from 424,860 tonnes to 3,028,040 tonnes/year (or 1,164 tonnes to 8,300 tonnes/day). At present, the solid waste management system in HCM City is not very effective as the major problems are that the separation of solid waste at source has not been implemented in the whole city, lack of professional ability of staff, and infrastructure for recycle, collection, transportation, and treatment of solid waste. With the vast population and amount of waste generation, it becomes very important to have appropriate waste management system suitable for local conditions.","Guidelines for Technology Selection for Sustainable Solid Waste Management in Ho Chi Minh City, Vietnam"
163,"EMMANUEL P LEAÑO, ALFREDO J ANCENO, SANDHYA BABEL", ,"Ultrasonication is known to effect disintegration of tenacious biomass which releases soluble substrates. The increased surface area of substrate and dissolution results in increased accessibility to biocatalysts such as enzymes and microorganisms. Here, palm oil mill effluent (POME) which releases significant quantities of greenhouse gases when left in wastewater lagoons was subjected to several sonication doses and used as feed in the production of biohydroen (bioH2) and bioelectricity using a microbial fuel cell (MFC) bioreactor. It was found in this study that carbohydrates (ie lignocellulose), suspended solids, and oil rich effluent can be valorized in both biotreatment process, yielding bioH2 and bioelectricity in reasonable quantities. The performance of both biovalorization approaches was discussed in relation to levels of sonication and underlying major microbial taxa as assayed by novel molecular methods.","Ultrasonication is known to effect disintegration of tenacious biomass which releases soluble substrates. The increased surface area of substrate and dissolution results in increased accessibility to biocatalysts such as enzymes and microorganisms. Here, palm oil mill effluent (POME) which releases significant quantities of greenhouse gases when left in wastewater lagoons was subjected to several sonication doses and used as feed in the production of biohydroen (bioH2) and bioelectricity using a microbial fuel cell (MFC) bioreactor. It was found in this study that carbohydrates (ie lignocellulose), suspended solids, and oil rich effluent can be valorized in both biotreatment process, yielding bioH2 and bioelectricity in reasonable quantities. The performance of both biovalorization approaches was discussed in relation to levels of sonication and underlying major microbial taxa as assayed by novel molecular methods.",Preliminary comparison of prominent microbial taxa relative to bioprocess performance
164,"EMMANUEL P LEAÑO, ALFREDO J ANCENO, SANDHYA BABEL", ,"Palm oil production is a major agro-industrial activity in Southeast Asia and is a major source of inland water pollution in Southern Thailand. The resulting palm oil mill effluent (POME) releases significant quantities of greenhouse gases into the environment when left in wastewater lagoons. If POME is used to produce methane, its combustion will also end up in greenhouse gases. Hydrogen production was hence sought since POME is rich in carbohydrates (ie lignocellulose), suspended solids, and oil. There are a number of studies dealing with hydrogen production from organics-rich wastewaters, through dark fermentation. However, studies on POME pretreatment as to increase bioavailability is limited. Ultrasonication is known to enhance reaction rates in several bioprocesses by increasing the surface area of reactants via the mechanisms of cavitation and acoustic streaming. When applied to tenacious biomass, the resulting disintegration releases soluble substrates. Increased surface area and dissolution results in increased accessibility to biocatalysts such as enzymes and microorganisms. We therefore investigated the impact of ultrasonication on hydrogen yield from POME under a hypothesis that the pretreatment strategy will increase its bioavailability to the target microflora.","Palm oil production is a major agro-industrial activity in Southeast Asia and is a major source of inland water pollution in Southern Thailand. The resulting palm oil mill effluent (POME) releases significant quantities of greenhouse gases into the environment when left in wastewater lagoons. If POME is used to produce methane, its combustion will also end up in greenhouse gases. Hydrogen production was hence sought since POME is rich in carbohydrates (ie lignocellulose), suspended solids, and oil. There are a number of studies dealing with hydrogen production from organics-rich wastewaters, through dark fermentation. However, studies on POME pretreatment as to increase bioavailability is limited. Ultrasonication is known to enhance reaction rates in several bioprocesses by increasing the surface area of reactants via the mechanisms of cavitation and acoustic streaming. When applied to tenacious biomass, the resulting disintegration releases soluble substrates. Increased surface area and dissolution results in increased accessibility to biocatalysts such as enzymes and microorganisms. We therefore investigated the impact of ultrasonication on hydrogen yield from POME under a hypothesis that the pretreatment strategy will increase its bioavailability to the target microflora.",Preliminary studies on impacts to bioprocess performance and underlying microflora during bioH2 production
